height,weight,age,male
156.21,44.0267735,33,0
132.715,24.9759095,15,1
125.095,22.5945515,12,0
101.6,14.344847,5,0
160.655,47.8823055,41,1
146.05,39.405805,37.4,0
132.715,24.777463,13,0
87.63,10.659412,6,0
156.21,41.050076,53,1
152.4,40.82328,49,0
162.56,47.0318205,27,0
114.935,17.519991,7,1
67.945,7.2291225,1,0
142.875,34.246196,31,0
76.835,8.0229085,1,1
145.415,31.127751,17,1
162.56,52.16308,31,1
156.21,54.0624965,21,0
71.12,8.051258,0,1
158.75,52.5316235,68,1

